month,ARIMA,lowerbound,upperbound
2020-01-01,108.40665357810228,87.82463007948755,128.988677076717
2020-02-01,111.46473160673584,84.16821192330815,138.76125129016353
2020-03-01,112.40230001618147,79.47216641879683,145.3324336135661
2020-04-01,112.77556430399109,76.55469244225256,148.99643616572962
2020-05-01,114.64728955377812,76.85212103104192,152.44245807651433
2020-06-01,115.15887666331096,76.53347040300555,153.7842829236164
2020-07-01,116.42601734847267,77.27821569054953,155.5738190063958
2020-08-01,113.81225930658653,74.53426927194926,153.0902493412238
2020-09-01,112.73450067549805,73.4565093507224,152.0124920002737
2020-10-01,111.00092131530646,71.61877419624956,150.38306843436334
2020-11-01,110.56995654222015,70.89768053191662,150.2422325525237
2020-12-01,110.51506706484035,69.9933741446668,151.0367599850139
